match_id,date,competition,home_team,away_team,home_goals,away_goals,home_rank,away_rank,home_points,away_points,rank_diff,points_diff,home_market_value_avg,away_market_value_avg,market_value_avg_diff,home_found_count,away_found_count,home_recent_win_rate,away_recent_win_rate,home_recent_goals_scored,away_recent_goals_scored,home_recent_goals_conceded,away_recent_goals_conceded,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_goal_diff,year,month,world_cup,match_result
4,2026-06-12,World Cup / Group Stage,Canada,Bosnia-Herzegovina,1,1,30.0,,1556.48,,,,9940000.0,5595000.0,4345000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
5,2026-06-12,World Cup / Group Stage,Qatar,Switzerland,1,1,55.0,19.0,1454.96,1649.4,-36.0,-194.44000000000005,2490000.0,12960000.0,-10470000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
6,2026-06-12,World Cup / Group Stage,Brazil,Morocco,1,1,6.0,8.0,1761.16,1755.87,2.0,5.290000000000191,63600000.0,10900000.0,52700000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
7,2026-06-12,World Cup / Group Stage,Scotland,Haiti,1,0,43.0,83.0,1498.35,1291.71,40.0,206.63999999999987,10700000.0,768750.0,9931250.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
12,2026-06-13,World Cup / Group Stage,Ivory Coast,Ecuador,1,0,34.0,23.0,1532.98,1594.78,-11.0,-61.799999999999955,13575000.0,3560000.0,10015000.0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
8,2026-06-13,World Cup / Group Stage,Australia,Turkey,2,0,27.0,22.0,1580.67,1599.04,-5.0,-18.36999999999989,1155000.0,31200000.0,-30045000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
9,2026-06-13,World Cup / Group Stage,United States of America,Paraguay,4,1,,40.0,,1503.5,,,29600000.0,7560000.0,22040000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
10,2026-06-13,World Cup / Group Stage,Germany,Curaçao,7,1,10.0,82.0,1730.37,1294.65,72.0,435.7199999999998,37500000.0,395000.0,37105000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
11,2026-06-13,World Cup / Group Stage,Netherlands,Japan,2,2,7.0,18.0,1757.87,1660.43,11.0,97.43999999999983,45000000.0,17100000.0,27900000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
13,2026-06-13,World Cup / Group Stage,Sweden,Tunisia,5,1,38.0,44.0,1514.77,1483.05,6.0,31.720000000000027,40800000.0,2300000.0,38500000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
14,2026-06-14,World Cup / Group Stage,Spain,Cabo Verde,0,0,2.0,,1876.4,,,,96000000.0,675000.0,95325000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
15,2026-06-14,World Cup / Group Stage,Belgium,Egypt,1,1,9.0,29.0,1734.71,1563.24,20.0,171.47000000000003,28800000.0,20000000.0,8800000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
16,2026-06-14,World Cup / Group Stage,Saudi Arabia,Uruguay,0,0,61.0,17.0,1421.43,1673.07,-44.0,-251.63999999999987,1468750.0,37600000.0,-36131250.0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
19,2026-06-15,World Cup / Group Stage,Portugal,Uzbekistan,5,0,5.0,50.0,1763.83,1465.34,45.0,298.49,47800000.0,2800000.0,45000000.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
18,2026-06-15,World Cup / Group Stage,Norway,Senegal,1,4,31.0,14.0,1550.94,1688.99,-17.0,-138.04999999999995,59875000.0,13820000.0,46055000.0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,0
17,2026-06-15,World Cup / Group Stage,France,Iraq,3,0,1.0,57.0,1877.32,1447.14,56.0,430.17999999999984,74200000.0,450000.0,73750000.0,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
20,2026-06-15,World Cup / Group Stage,England,Ghana,0,0,4.0,74.0,1825.97,1346.31,70.0,479.6600000000001,89000000.0,18950000.0,70050000.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
21,2026-06-20,World Cup / Group Stage,Netherlands,Sweden,5,1,7.0,38.0,1757.87,1514.77,31.0,243.0999999999999,45000000.0,40800000.0,4200000.0,5,5,0.0,1.0,2.0,5.0,2.0,1.0,0,0,0,0,2026,6,2,2
22,2026-06-20,World Cup / Group Stage,Germany,Ivory Coast,2,1,10.0,34.0,1730.37,1532.98,24.0,197.38999999999987,57500000.0,13575000.0,43925000.0,5,4,1.0,1.0,7.0,1.0,1.0,0.0,0,0,0,0,2026,6,2,2
23,2026-06-20,World Cup / Group Stage,Ecuador,Curaçao,0,0,23.0,82.0,1594.78,1294.65,59.0,300.1299999999999,3560000.0,395000.0,3165000.0,5,5,0.0,0.0,0.0,1.0,1.0,7.0,0,0,0,0,2026,6,2,1
26,2026-06-21,World Cup / Group Stage,Belgium,Iran,0,0,9.0,21.0,1734.71,1615.3,12.0,119.41000000000008,28800000.0,20000000.0,8800000.0,5,5,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,2026,6,2,1
27,2026-06-21,World Cup / Group Stage,Uruguay,Cabo Verde,2,2,17.0,,1673.07,,,,37600000.0,675000.0,36925000.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,1
25,2026-06-21,World Cup / Group Stage,Spain,Saudi Arabia,4,0,2.0,61.0,1876.4,1421.43,59.0,454.97,96000000.0,1468750.0,94531250.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2026,6,2,2
24,2026-06-21,World Cup / Group Stage,Tunisia,Japan,0,4,44.0,18.0,1483.05,1660.43,-26.0,-177.3800000000001,2300000.0,17100000.0,-14800000.0,5,5,0.0,0.0,1.0,2.0,5.0,2.0,0,0,0,0,2026,6,2,0
28,2026-06-22,World Cup / Group Stage,New Zealand,Egypt,1,3,85.0,29.0,1281.57,1563.24,-56.0,-281.6700000000001,1475000.0,20000000.0,-18525000.0,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,2026,6,2,0
