year,date_label,rank,team,points
2013,19 December,1,FRA,1877.32
2013,19 December,2,ESP,1876.40
2013,19 December,3,ARG,1874.81
2013,19 December,4,ENG,1825.97
2013,19 December,5,POR,1763.83
2013,19 December,6,BRA,1761.16
2013,19 December,7,NED,1757.87
2013,19 December,8,MAR,1755.87
2013,19 December,9,BEL,1734.71
2013,19 December,10,BRA,1102.00
2013,19 December,11,BEL,1098.00
2013,19 December,12,GRE,1055.00
2013,19 December,13,ENG,1041.00
2013,19 December,14,USA,1019.00
2013,19 December,15,CHI,1014.00
2013,19 December,16,CRO,971.00
2013,19 December,17,CIV,918.00
2013,19 December,18,UKR,907.00
2013,19 December,19,BIH,899.00
2013,19 December,20,FRA,893.00
2013,19 December,21,MEX,892.00
2013,19 December,22,RUS,870.00
2013,19 December,23,ECU,852.00
2013,19 December,24,GHA,849.00
2013,19 December,25,DEN,831.00
2013,19 December,26,ALG,800.00
2013,19 December,27,SWE,793.00
2013,19 December,28,CZE,766.00
2013,19 December,29,SVN,762.00
2013,19 December,30,SRB,752.00
2013,19 December,31,CRC,741.00
2013,19 December,32,ROU,734.00
2013,19 December,33,IRN,720.00
2013,19 December,34,SCO,717.00
2013,19 December,35,ARM,716.00
2013,19 December,36,VEN,711.00
2013,19 December,37,NGA,710.00
2013,19 December,38,PAN,705.00
2013,19 December,39,CPV,698.00
2013,19 December,39,PER,698.00
2013,19 December,41,EGY,695.00
2013,19 December,42,HON,690.00
2013,19 December,43,TUR,677.00
2013,19 December,44,HUN,668.00
2013,19 December,45,MLI,664.00
2013,19 December,46,AUT,648.00
2013,19 December,47,JPN,638.00
2013,19 December,48,TUN,632.00
2013,19 December,49,ISL,624.00
2013,19 December,50,CMR,615.00
2013,19 December,51,PAR,600.00
2013,19 December,52,MNE,594.00
2013,19 December,53,BFA,591.00
2013,19 December,54,KOR,577.00
2013,19 December,54,NOR,577.00
2013,19 December,56,WAL,574.00
2013,19 December,57,ALB,571.00
2013,19 December,58,AUS,565.00
2013,19 December,59,LBY,558.00
2013,19 December,60,SVK,557.00
2013,19 December,61,GUI,555.00
2013,19 December,62,RSA,554.00
2013,19 December,63,ISR,548.00
2013,19 December,64,FIN,539.00
2013,19 December,65,SEN,536.00
2013,19 December,65,JOR,536.00
2013,19 December,67,IRL,528.00
2013,19 December,68,UZB,526.00
2013,19 December,69,ZAM,523.00
2013,19 December,70,BOL,519.00
2013,19 December,71,UAE,507.00
2013,19 December,72,TOG,504.00
2013,19 December,73,MAR,490.00
2013,19 December,74,BUL,486.00
2013,19 December,75,SLE,471.00
2013,19 December,76,POL,461.00
2013,19 December,77,GAB,453.00
2013,19 December,78,TRI,441.00
2013,19 December,79,HAI,440.00
2013,19 December,80,JAM,439.00
2013,19 December,81,BLR,431.00
2013,19 December,82,COD,427.00
2013,19 December,83,MKD,425.00
2013,19 December,84,CGO,421.00
2013,19 December,85,OMA,408.00
2013,19 December,86,UGA,402.00
2013,19 December,87,KSA,391.00
2013,19 December,88,ANG,384.00
2013,19 December,89,NIR,381.00
2013,19 December,90,NZL,378.00
2013,19 December,90,SLV,378.00
2013,19 December,92,CHN,376.00
2013,19 December,93,ETH,374.00
2013,19 December,94,AZE,363.00
2013,19 December,94,EST,363.00
2013,19 December,96,MDA,359.00
2013,19 December,97,BOT,357.00
2013,19 December,98,LBR,354.00
2013,19 December,99,BEN,342.00
2013,19 December,100,CUB,334.00
2013,19 December,101,GEO,330.00
2013,19 December,102,LTU,326.00
2013,19 December,103,QAT,325.00
2013,19 December,104,NIG,318.00
2013,19 December,105,KUW,315.00
2013,19 December,106,CTA,310.00
2013,19 December,107,ZIM,299.00
2013,19 December,108,EQG,294.00
2013,19 December,109,KEN,293.00
2013,19 December,110,IRQ,292.00
2013,19 December,110,BHR,292.00
2013,19 December,112,CAN,291.00
2013,19 December,113,GUA,287.00
2013,19 December,114,TJK,286.00
2013,19 December,115,DOM,282.00
2013,19 December,116,MWI,272.00
2013,19 December,116,LVA,272.00
2013,19 December,118,MOZ,264.00
2013,19 December,119,SDN,259.00
2013,19 December,120,TAN,256.00
2013,19 December,121,NCL,249.00
2013,19 December,121,LIB,249.00
2013,19 December,123,LUX,243.00
2013,19 December,124,BDI,239.00
2013,19 December,125,NAM,237.00
2013,19 December,126,CYP,229.00
2013,19 December,127,PHI,219.00
2013,19 December,128,KAZ,216.00
2013,19 December,129,SYR,207.00
2013,19 December,130,MYA,204.00
2013,19 December,131,GAM,202.00
2013,19 December,132,MLT,198.00
2013,19 December,133,RWA,197.00
2013,19 December,133,SUR,197.00
2013,19 December,135,TKM,195.00
2013,19 December,136,GRN,194.00
2013,19 December,137,PLE,192.00
2013,19 December,138,LES,187.00
2013,19 December,138,PRK,187.00
2013,19 December,140,AFG,184.00
2013,19 December,140,HKG,184.00
2013,19 December,142,MTN,180.00
2013,19 December,143,TAH,179.00
2013,19 December,144,VIE,167.00
2013,19 December,145,ATG,164.00
2013,19 December,146,THA,162.00
2013,19 December,147,LCA,155.00
2013,19 December,147,KGZ,155.00
2013,19 December,149,SKN,150.00
2013,19 December,150,GUY,149.00
2013,19 December,150,SGP,149.00
2013,19 December,152,LAO,144.00
2013,19 December,153,VIN,142.00
2013,19 December,154,LIE,141.00
2013,19 December,154,PUR,141.00
2013,19 December,154,MAS,141.00
2013,19 December,154,IND,141.00
2013,19 December,158,STP,139.00
2013,19 December,159,BLZ,136.00
2013,19 December,160,NCA,130.00
2013,19 December,161,GUM,123.00
2013,19 December,161,IDN,123.00
2013,19 December,163,MDV,120.00
2013,19 December,164,CHA,116.00
2013,19 December,164,BAN,116.00
2013,19 December,166,BRB,101.00
2013,19 December,167,TPE,95.00
2013,19 December,167,DMA,95.00
2013,19 December,169,SRI,90.00
2013,19 December,170,ARU,87.00
2013,19 December,170,FRO,87.00
2013,19 December,172,SOL,86.00
2013,19 December,172,NEP,86.00
2013,19 December,172,PAK,86.00
2013,19 December,175,BER,83.00
2013,19 December,176,SEY,67.00
2013,19 December,177,MRI,66.00
2013,19 December,178,CUW,65.00
2013,19 December,179,YEM,54.00
2013,19 December,180,VAN,53.00
2013,19 December,181,MNG,49.00
2013,19 December,182,FIJ,47.00
2013,19 December,183,SAM,45.00
2013,19 December,184,GNB,42.00
2013,19 December,185,BAH,40.00
2013,19 December,186,SWZ,37.00
2013,19 December,187,MAD,33.00
2013,19 December,187,MSR,33.00
2013,19 December,189,CAM,28.00
2013,19 December,190,BRU,26.00
2013,19 December,190,TLS,26.00
2013,19 December,190,TGA,26.00
2013,19 December,193,VIR,23.00
2013,19 December,194,CAY,21.00
2013,19 December,194,PNG,21.00
2013,19 December,196,VGB,18.00
2013,19 December,196,ASA,18.00
2013,19 December,198,COM,17.00
2013,19 December,198,AND,17.00
2013,19 December,200,ERI,11.00
2013,19 December,201,SSD,10.00
2013,19 December,201,MAC,10.00
2013,19 December,203,SOM,8.00
2013,19 December,204,DJI,6.00
2013,19 December,205,COK,5.00
2013,19 December,206,AIA,3.00
2013,19 December,207,BHU,0.00
2013,19 December,207,SMR,0.00
2013,19 December,207,TCA,0.00
2013,28 November,1,ESP,1507.00
2013,28 November,2,GER,1318.00
2013,28 November,3,ARG,1251.00
2013,28 November,4,COL,1200.00
2013,28 November,5,POR,1172.00
2013,28 November,6,URU,1132.00
2013,28 November,7,ITA,1120.00
2013,28 November,8,SUI,1113.00
2013,28 November,9,NED,1106.00
2013,28 November,10,BRA,1102.00
2013,28 November,11,BEL,1098.00
2013,28 November,12,GRE,1055.00
2013,28 November,13,ENG,1041.00
2013,28 November,14,USA,1019.00
2013,28 November,15,CHI,1014.00
2013,28 November,16,CRO,971.00
2013,28 November,17,CIV,918.00
2013,28 November,18,UKR,907.00
2013,28 November,19,BIH,899.00
2013,28 November,20,FRA,893.00
2013,28 November,21,MEX,892.00
2013,28 November,22,RUS,870.00
2013,28 November,23,ECU,852.00
2013,28 November,24,GHA,849.00
2013,28 November,25,DEN,831.00
2013,28 November,26,ALG,800.00
2013,28 November,27,SWE,793.00
2013,28 November,28,CZE,766.00
2013,28 November,29,SVN,762.00
2013,28 November,30,SRB,752.00
2013,28 November,31,CRC,741.00
2013,28 November,32,ROU,734.00
2013,28 November,33,IRN,720.00
2013,28 November,34,SCO,717.00
2013,28 November,35,ARM,716.00
2013,28 November,36,VEN,711.00
2013,28 November,37,NGA,710.00
2013,28 November,38,PAN,705.00
2013,28 November,39,CPV,698.00
2013,28 November,39,PER,698.00
2013,28 November,41,EGY,695.00
2013,28 November,42,HON,690.00
2013,28 November,43,TUR,677.00
2013,28 November,44,HUN,668.00
2013,28 November,45,MLI,664.00
2013,28 November,46,AUT,648.00
2013,28 November,47,JPN,638.00
2013,28 November,48,TUN,632.00
2013,28 November,49,ISL,624.00
2013,28 November,50,CMR,615.00
2013,28 November,51,PAR,600.00
2013,28 November,52,MNE,594.00
2013,28 November,53,BFA,591.00
2013,28 November,54,KOR,577.00
2013,28 November,54,NOR,577.00
2013,28 November,56,WAL,574.00
2013,28 November,57,ALB,571.00
2013,28 November,58,AUS,565.00
2013,28 November,59,LBY,558.00
2013,28 November,60,SVK,557.00
2013,28 November,61,GUI,555.00
2013,28 November,62,RSA,554.00
2013,28 November,63,ISR,548.00
2013,28 November,64,FIN,539.00
2013,28 November,65,SEN,536.00
2013,28 November,65,JOR,536.00
2013,28 November,67,IRL,528.00
2013,28 November,68,UZB,526.00
2013,28 November,69,ZAM,523.00
2013,28 November,70,BOL,519.00
2013,28 November,71,UAE,508.00
2013,28 November,72,ZAM,505.00
2013,28 November,73,HAI,495.00
2013,28 November,74,SLE,493.00
2013,28 November,75,MAR,490.00
2013,28 November,76,BUL,486.00
2013,28 November,77,TOG,480.00
2013,28 November,78,POL,473.00
2013,28 November,79,TRI,458.00
2013,28 November,80,GAB,453.00
2013,28 November,81,JAM,441.00
2013,28 November,82,BLR,431.00
2013,28 November,83,COD,427.00
2013,28 November,84,MKD,421.00
2013,28 November,84,CGO,421.00
2013,28 November,86,UGA,417.00
